task_id,model,success,outcome,primary_class,stall_subclass,asterisk,steps,optimal_steps,steps_over_bfs_min,progress_score,coverage,unique_tiles,invalid_actions,n_parse_fail,input_tokens,output_tokens,total_tokens,thinking_tokens_est,tokens_per_new_tile,latency_median_s,grid_size,topology,condition,chain_depth,n_keys,n_doors,n_switches,n_gates,n_distractors,trajectory_ref
r1_B1_10x10_corridor_swg_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,46,43,1.07,0.1429,0.1667,6,10,0,25263,795884,821147,795596,132647.3,668.6,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_10x10_corridor_swg_0,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,40,43,0.93,0.2571,0.2778,10,30,0,33796,9044,42840,8765,904.4,484.8,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_10x10_corridor_swg_0,kimi-k2.6,False,stall_kill,late_stall,spin_in_place,,46,43,1.07,0.2857,0.3056,11,12,4,36301,1108397,1144698,1107934,100763.4,2557.4,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_10x10_corridor_swg_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,81,44,1.841,0.4,0.4167,15,24,0,45670,1214544,1260214,1214030,80969.6,603.3,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_10x10_corridor_swg_1,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,36,44,0.818,0.1429,0.1667,6,30,0,30267,18537,48804,18134,3089.5,469.9,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_10x10_corridor_swg_1,kimi-k2.6,False,stall_kill,late_stall,short_loop_oscillation,,37,44,0.841,0.1429,0.1667,6,14,0,26405,679577,705982,678296,113262.8,2641.2,10,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_corridor_swg_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_10x10_dense_swg_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,spin_in_place,,62,36,1.722,0.1905,0.1471,5,15,0,33637,998105,1031742,997716,199621.0,623.1,10,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_dense_swg_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_10x10_dense_swg_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,34,36,0.944,0.1429,0.1176,4,30,0,28527,25427,53954,24851,6356.8,455.1,10,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_dense_swg_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_10x10_dense_swg_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,62,36,1.722,0.2857,0.2059,7,16,1,45548,1355257,1400805,1354545,193608.1,2308.7,10,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_10x10_dense_swg_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_14x14_corridor_swg_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,spin_in_place,,41,84,0.488,0.0,0.1538,12,9,0,37775,687728,725503,687462,57310.7,646.2,14,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_corridor_swg_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_14x14_corridor_swg_0,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,41,84,0.488,0.0,0.1538,12,30,0,52369,7845,60214,7558,653.8,484.2,14,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_corridor_swg_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_14x14_corridor_swg_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,65,84,0.774,0.0,0.0897,7,23,4,77680,1432739,1510419,1431639,204677.0,2489.3,14,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_corridor_swg_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_14x14_dense_swg_0,Qwen_Qwen3.6-27B,False,stall_kill,immediate_stall,spin_in_place,,30,79,0.38,0.0,0.0133,1,11,0,26452,457133,483585,456942,457133.0,632.7,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_14x14_dense_swg_0,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,32,79,0.405,0.0357,0.04,3,30,0,40039,7315,47354,7103,2438.3,469.5,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_14x14_dense_swg_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,52,79,0.658,0.0893,0.08,6,22,1,61106,1077036,1138142,1076693,179506.0,2515.5,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_14x14_dense_swg_1,Qwen_Qwen3.6-27B,False,stall_kill,immediate_stall,spin_in_place,,31,68,0.456,0.0303,0.0278,2,8,0,27784,545522,573306,545327,272761.0,666.2,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_14x14_dense_swg_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,31,68,0.456,0.0303,0.0278,2,30,0,38436,16710,55146,16493,8355.0,484.4,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_14x14_dense_swg_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,61,68,0.897,0.2121,0.1111,8,21,5,75675,1427015,1502690,1426280,178376.9,2350.3,14,dense_dead_ends,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_14x14_dense_swg_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,45,26,1.731,0.2,0.2381,5,5,0,18213,716065,734278,715783,143213.0,592.0,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_0,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,71,26,2.731,0.45,0.4762,10,51,0,47722,253364,301086,248456,25336.4,424.7,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,45,26,1.731,0.45,0.4762,10,10,2,25628,988227,1013855,987741,98822.7,2641.9,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,39,27,1.444,0.25,0.2857,6,7,0,15906,540797,556703,540549,90132.8,531.3,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_1,claude-opus-4-8,False,stall_kill,late_stall,mixed_churn,,36,27,1.333,0.25,0.2857,6,10,0,23863,160238,184101,157313,26706.3,470.1,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_B1_8x8_corridor_swg_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,49,27,1.815,0.25,0.2857,6,10,3,28479,1076518,1104997,1076208,179419.7,2517.9,8,winding,B,1,0,0,1,1,0,Multinet-v2-results/r1-20260717/runs/r1_B1_8x8_corridor_swg_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0,Qwen_Qwen3.6-27B,False,stall_kill,immediate_stall,mixed_churn,,48,61,0.787,0.0909,0.0909,3,21,0,25786,771905,797691,771591,257301.7,600.6,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,34,61,0.557,0.0909,0.0909,3,31,0,28123,19214,47337,18660,6404.7,454.8,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0,kimi-k2.6,False,stall_kill,immediate_stall,spin_in_place,,54,61,0.885,0.1364,0.1212,4,14,4,41567,1430287,1471854,1429822,357571.8,2350.4,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1,Qwen_Qwen3.6-27B,False,stall_kill,immediate_stall,spin_in_place,,44,58,0.759,0.1429,0.1176,4,16,0,24063,714576,738639,714296,178644.0,650.6,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,35,58,0.603,0.1429,0.1176,4,31,0,29376,10697,40073,10249,2674.2,454.9,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,89,58,1.534,0.2857,0.2059,7,29,1,65253,2037498,2102751,2036556,291071.1,2277.1,10,dense_dead_ends,D,3,3,2,1,1,1,Multinet-v2-results/r1-20260717/runs/r1_D1_10x10_dense_wrong_ky_kr_sg_kb_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,93,47,1.979,0.1429,0.1667,6,28,0,52037,1493096,1545133,1492501,248849.3,598.4,10,winding,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,claude-opus-4-8,False,stall_kill,late_stall,mixed_churn,,43,47,0.915,0.2,0.2222,8,33,0,35765,55655,91420,54999,6956.9,455.0,10,winding,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,102,47,2.17,0.5143,0.5278,19,15,2,76017,2161388,2237405,2160235,113757.3,1914.8,10,winding,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,70,61,1.148,0.3636,0.2727,9,24,0,38849,1172673,1211522,1172230,130297.0,650.4,10,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,34,61,0.557,0.0909,0.0909,3,31,0,28138,14427,42565,14190,4809.0,454.8,10,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0,kimi-k2.6,False,stall_kill,immediate_stall,mixed_churn,,63,61,1.033,0.1364,0.1212,4,21,4,47742,1554102,1601844,1553703,388525.5,2308.6,10,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,spin_in_place,,58,96,0.604,0.1515,0.0833,6,10,0,53397,908869,962266,908503,151478.2,569.8,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,31,96,0.323,0.0303,0.0278,2,30,0,38436,4650,43086,4433,2325.0,484.0,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,84,96,0.875,0.2121,0.1111,8,31,7,99539,1879956,1979495,1878765,234994.5,2276.1,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_inactive_sb_sg_kr_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,37,96,0.385,0.1212,0.0694,5,14,0,33851,618425,652276,618185,123685.0,638.8,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,31,96,0.323,0.0303,0.0278,2,30,0,38436,7719,46155,7502,3859.5,483.9,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,72,96,0.75,0.1818,0.0972,7,24,3,85876,1574123,1659999,1573529,224874.7,2593.8,14,dense_dead_ends,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,72,95,0.758,0.125,0.1067,8,20,0,67118,1085695,1152813,1085229,135711.9,579.6,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,32,95,0.337,0.0357,0.04,3,30,0,40123,2287,42410,2063,762.3,469.3,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,105,95,1.105,0.1607,0.1333,10,25,2,124370,2045629,2169999,2044410,204562.9,1790.8,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,64K_CEILING,83,106,0.783,0.1515,0.0833,6,34,0,76960,1346290,1423250,1305378,224381.7,589.4,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,31,106,0.292,0.0303,0.0278,2,30,0,38436,3352,41788,3135,1676.0,483.9,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1,kimi-k2.6,False,stall_kill,immediate_stall,mixed_churn,,41,106,0.387,0.0909,0.0556,4,19,4,49922,850414,900336,849751,212603.5,2639.4,14,dense_dead_ends,D,3,3,2,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,38,29,1.31,0.25,0.2857,6,7,0,15517,518202,533719,517919,86367.0,510.8,8,winding,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,39,29,1.345,0.25,0.2857,6,32,0,26155,67485,93640,66960,11247.5,484.8,8,winding,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,46,29,1.586,0.25,0.2857,6,17,0,25480,983558,1009038,982941,163926.3,542.4,8,winding,D,2,2,1,2,1,2,Multinet-v2-results/r1-20260717/runs/r1_D2_8x8_corridor_wrong_ky_inactive_sb_sg_kr_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_D3_10x10_dense_deadend_ky_dy_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,58,23,2.522,0.25,0.1471,5,16,0,31819,965514,997333,965141,193102.8,637.7,10,dense_dead_ends,D,0,1,1,0,0,1,Multinet-v2-results/r1-20260717/runs/r1_D3_10x10_dense_deadend_ky_dy_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_D3_10x10_dense_deadend_ky_dy_1,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,54,23,2.348,0.1875,0.1176,4,50,0,45507,73167,118674,72012,18291.8,454.7,10,dense_dead_ends,D,0,1,1,0,0,1,Multinet-v2-results/r1-20260717/runs/r1_D3_10x10_dense_deadend_ky_dy_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_D3_10x10_dense_deadend_ky_dy_1,kimi-k2.6,False,stall_kill,immediate_stall,spin_in_place,,30,23,1.304,0.0,0.0294,1,13,3,22257,588900,611157,588444,588900.0,2793.9,10,dense_dead_ends,D,0,1,1,0,0,1,Multinet-v2-results/r1-20260717/runs/r1_D3_10x10_dense_deadend_ky_dy_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_M1_10x10_corridor_kr_1,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,spin_in_place,,105,45,2.333,0.4857,0.5,18,23,0,60094,1607158,1667252,1606488,89286.6,610.2,10,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_corridor_kr_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_M1_10x10_corridor_kr_1,claude-opus-4-8,True,solved,solved,,,66,45,1.467,1.0,1.0,36,19,0,57141,84638,141779,83600,2351.1,424.7,10,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_corridor_kr_1/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_M1_10x10_corridor_kr_1,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,57,45,1.267,0.1714,0.1944,7,17,1,42470,1274046,1316516,1272806,182006.6,2350.7,10,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_corridor_kr_1/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_M1_10x10_dense_kr_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,mixed_churn,,76,44,1.727,0.3636,0.2727,9,21,0,42065,1097951,1140016,1097461,121994.6,527.7,10,dense_dead_ends,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_dense_kr_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_M1_10x10_dense_kr_0,claude-opus-4-8,False,stall_kill,immediate_stall,wall_walking,,34,44,0.773,0.0909,0.0909,3,31,0,28138,8358,36496,8054,2786.0,455.0,10,dense_dead_ends,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_dense_kr_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_M1_10x10_dense_kr_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,79,44,1.795,0.2273,0.1818,6,30,1,58032,1748804,1806836,1747683,291467.3,1790.7,10,dense_dead_ends,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_10x10_dense_kr_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_M1_14x14_corridor_kr_0,Qwen_Qwen3.6-27B,False,stall_kill,late_stall,spin_in_place,,63,85,0.741,0.0,0.1538,12,14,0,58632,1123502,1182134,1123097,93625.2,686.4,14,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_14x14_corridor_kr_0/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
r1_M1_14x14_corridor_kr_0,claude-opus-4-8,False,stall_kill,late_stall,wall_walking,,41,85,0.482,0.0,0.1538,12,30,0,52369,8305,60674,8018,692.1,484.2,14,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_14x14_corridor_kr_0/minigrid/claude-opus-4-8/seed_0/default/episode.json
r1_M1_14x14_corridor_kr_0,kimi-k2.6,False,stall_kill,late_stall,mixed_churn,,67,85,0.788,0.0,0.1282,10,15,3,81880,1460856,1542736,1460195,146085.6,2502.2,14,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_14x14_corridor_kr_0/minigrid/kimi-k2.6/seed_0/default/episode.json
r1_M1_14x14_corridor_kr_1,Qwen_Qwen3.6-27B,False,stall_kill,immediate_stall,mixed_churn,,43,91,0.473,0.039,0.0513,4,19,0,39261,687678,726939,687403,171919.5,615.8,14,winding,M,1,1,1,0,0,0,Multinet-v2-results/r1-20260717/runs/r1_M1_14x14_corridor_kr_1/minigrid/Qwen_Qwen3.6-27B/seed_0/default/episode.json
